Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2006-0729-MSR,2006,0729,,Natural,Geophysical,Volcanic activity,Ash fall,,Soufriere,Montserrat,MSR,Caribbean,Americas,"Belham valley (Central, Salem provinces)",,,,,,,,,,,,,,2006,12,26,2006,,,,,200,,200,,,,,,,68.88375871,2,,21781;21785,Administrative unit not available (Adm2). 
2006-0213-PER,2006,0213,,Natural,Geophysical,Volcanic activity,Ash fall,,Ubinas,Peru,PER,South America,Americas,"Ubinas, Matalaque, Chojata, Lloque, Yunga, Ichuna, Coalaque, La Capilla, Omate, Puquina, Quinistaquillas municipalities (General Sanchez Cerro districts, Moquegua province), San Juan de Taracuni municipality (Arequipa district ,Arequipa province)",,,,,,Yes,61,,,-16.355,-70.9,,,2006,3,27,2006,4,23,,,3000,,3000,,,,,,,68.88375871,2,,24039;24151,"Arequipa, General S??nchez Cerro (Adm2). "
2006-0450-PHL,2006,0450,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Sto Domingo, Daraga, Camalig, Ligao, Legazpi City, Tabaco, Malilipot, Guinobatan areas (Albay district, Region V (Bicol region) province)",,,,,,,120,,,13.257,123.685,,,2006,8,13,2006,8,13,,,43849,,43849,,,,,,,68.88375871,2,,24240,Albay (Adm2). 
2006-0540-PNG,2006,0540,,Natural,Geophysical,Volcanic activity,Ash fall,,Tavurvur ,Papua New Guinea,PNG,Melanesia,Oceania,"Kokopo, Rabaul districts (East New Britain province)",,,,,,,,,,,,08:45,,2006,10,7,2006,10,7,,,1221,,1221,,,,,,,68.88375871,2,,37482;37484,"Kokopo, Rabaul (Adm2). "
2006-0715-PNG,2006,0715,,Natural,Geophysical,Volcanic activity,Ash fall,,Karai ,Papua New Guinea,PNG,Melanesia,Oceania,"Kaiamu, Malasi, Sulu, Silali villages (Bialla district, West New Britain province)",,,,,,,,,,,,,,2006,7,13,2006,7,13,,,2078,,2078,,,,,,,68.88375871,2,,37553,Bialla (Adm2). 
2006-0281-VUT,2006,0281,,Natural,Geophysical,Volcanic activity,Ash fall,,Lopevi,Vanuatu,VUT,Melanesia,Oceania,"Paama, Ambrym villages (Malampa province)",,,,,,,,,,-16.507,168.346,,,2006,5,9,2006,5,9,,,,,,,,,,,,68.88375871,2,,31850,Administrative unit not available (Adm2). 
2007-0363-ETH,2007,0363,,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Arteale,Ethiopia,ETH,Eastern Africa,Africa,"Dayulu (Zone 1 district, Afar province), Gomoyta (Zone 4 district, Afar province)",,,,,,,,,,12.17,40.82,,,2007,8,12,2007,8,12,5,,2000,,2000,,,,,,,70.8487927,2,,40788;40790,"Zone 1, Zone 4 (Adm2). "
2007-0259-IDN,2007,0259,VO-2007-000095,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Gamkonora ,Indonesia,IDN,South-Eastern Asia,Asia,"South Ibu sub-district (Halmahera Barat district, Maluku Utara province)",,,,,,,,,,,,14:50,,2007,7,9,2007,7,9,,,9758,,9758,,,,,,,70.8487927,2,,73677,Halmahera Barat (Adm2). 
2007-0511-IDN,2007,0511,VO-2007-000186,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Kelud,Indonesia,IDN,South-Eastern Asia,Asia,"Kediri, Blitar districts (Jawa Timur province)",,,,,,,,,,-7.93,112.308,,,2007,10,16,2007,10,18,,,22154,,22154,,,,,,,70.8487927,2,,18066;18072,"Blitar, Kediri (Adm2). "
2008-0546-COL,2008,0546,VO-2008-000046,Natural,Geophysical,Volcanic activity,Ash fall,,Nevado del Huila,Colombia,COL,South America,Americas,"Paez Belalcázar, Toez, Avirama, Togoima, Cohetango, Talaga, Wila, Los Guadalupes, El Jardin, Bello Horizonte, Las Americas, Avenida Santaander, El Centro, San Fernando, La Primavera, Panamericano, Villa del Norte, El Salado, Hoez, Ricaurte, Pickwe Tha Fim (Paez district, Cauca Province), Inza district (Cauca Province),Tesalia, Nataga, Paicol, La Plata (Huila department) ",,"Slide (land, mud, snow, rock)",,,,,,,,2.93,-76.03,21:45,,2008,11,20,2008,11,20,16,7,8000,,8007,,,,,,,73.56874554,2,,13733;13742;13989;13990;13993;14006,"Inza, La Plata, Nataga, Paez, Paicol, Tesalia (Adm2). "
2008-0182-ARG,2008,0182,VO-2008-000056-CHL,Natural,Geophysical,Volcanic activity,Ash fall,,Chaiten,Argentina,ARG,South America,Americas,"Bariloche district (Rio Negro Province), Chubut province",,,,,,,,,,-42.833,-72.65,,,2008,5,7,2008,5,7,,,,,,,,,,,,73.56874554,1;2,433,4756,Chubut (Adm1). Bariloche (Adm2). 
2008-0182-CHL,2008,0182,VO-2008-000056-CHL,Natural,Geophysical,Volcanic activity,Ash fall,,Chaiten,Chile,CHL,South America,Americas,"Chaiten, Futaleufu towns (Palena district, Los Lagos province)",,,,,,Yes,,,,-42.833,-72.65,,,2008,5,2,2008,5,6,,,8000,,8000,,,,,,,73.56874554,2,,12957,Palena (Adm2). 
